"Listing URL","Property Type","Latitude","Longitude","Star Rating","Number of Active Days","Bedrooms","Has pool","Cleaning Fee","Extra Guest Fee","Average Daily Rate LTM","Occupancy Rate LTM","Annual Revenue LTM"
"http://airbnb.com/rooms/41352763","Private Room","33.37699","-112.03908","4.8","175","1","f","35","4","46","70","13176"
"http://airbnb.com/rooms/41374213","Entire Home","33.53326","-112.04408","4.8","231","3","t","140","0","284","64","72292"
"http://airbnb.com/rooms/41377046","Entire Home","33.51196","-111.9799","5","295","Studio","f","0","0","305","35","39070"
"http://airbnb.com/rooms/41405986","Condo","33.299","-112.05727","4","183","2","t","0","0","83","47","14278"
"http://airbnb.com/rooms/41409369","Entire Home","33.47157","-112.02575","4.5","7","2","t","125","38","314","17","26091"
"http://airbnb.com/rooms/41409578","Entire Home","33.60978","-111.93828","4.9","357","3","t","199","0","416","64","105605"
"http://airbnb.com/rooms/41411213","Entire Home","33.47199","-111.9988","4.8","178","2","f","55","3","98","93","34262"
"http://airbnb.com/rooms/41455109","Entire Home","33.35531","-111.98268","4.8","306","3","t","140","0","205","75","66488"
"http://airbnb.com/rooms/41456742","Entire Home","33.51301","-112.0918","4","42","2","t","150","0","92","100","38901"
"http://airbnb.com/rooms/41476923","Entire Home","33.50329","-112.01578","5","221","3","t","185","6","394","66","101609"
"http://airbnb.com/rooms/41501085","Entire Home","33.47403","-112.07793","5","56","3","t","0","0","296","64","69337"
"http://airbnb.com/rooms/41520319","Private Room","33.46797","-112.00434","5","4","1","f","5","0","68","100","24888"
"http://airbnb.com/rooms/41532758","Condo","33.48006","-112.06729","5","229","Studio","t","89","5","87","71","23176"
"http://airbnb.com/rooms/41533815","Entire Home","33.60179","-112.02689","5","264","1","f","75","25","84","65","22894"
"http://airbnb.com/rooms/41561919","Private Room","33.50387","-112.09029","4.8","312","1","f","0","5","65","75","17842"
"http://airbnb.com/rooms/41565359","Entire Home","33.58757","-111.96254","5","4","4","t","250","0","1352","100","540582"
"http://airbnb.com/rooms/41576913","Entire Home","33.4845","-112.0442","4.9","92","Studio","f","30","0","51","69","14429"
"http://airbnb.com/rooms/41583955","Condo","33.47221","-112.00321","4.9","73","1","f","100","0","90","53","17959"
"http://airbnb.com/rooms/41585473","Entire Home","33.4959","-111.98677","5","148","4","t","280","0","1016","66","258581"
"http://airbnb.com/rooms/41587939","Entire Home","33.6135","-111.93284","5","305","3","t","225","11","352","79","119597"
"http://airbnb.com/rooms/41597797","Private Room","33.29838","-111.99129","5","78","1","t","25","0","62","89","21369"
"http://airbnb.com/rooms/41606230","Entire Home","33.48503","-111.99848","5","336","3","t","225","0","197","63","54002"
"http://airbnb.com/rooms/41610514","Entire Home","33.52085","-112.05054","4.5","4","3","f","149","0","227","100","83082"
"http://airbnb.com/rooms/41612812","Entire Home","33.45269","-112.04777","5","274","2","f","150","12","152","79","51363"
"http://airbnb.com/rooms/41617938","Entire Home","33.47263","-112.03235","0","4","1","f","30","0","150","100","54900"
"http://airbnb.com/rooms/41618401","Entire Home","33.4808","-112.20801","4.8","126","3","f","75","0","215","56","48858"
"http://airbnb.com/rooms/41618448","Entire Home","33.50538","-111.98664","5","7","4","f","200","0","900","69","237743"
